"RelPath","Ext","SizeBytes","Sha256","Title"
"docs\02-FASE1\FASE_1_COMPLETO.md",".md","13830","596987F6716232271FEC0EBBA68544E358433F0C6FC31A5165BC3106EEB42991","FASE 1 - ESTANDARIZACIÓN API ✅ COMPLETADA"
"docs\02-FASE1\FASE_1_ESTANDARIZACION_API.md",".md","21441","44E487546AE56E61E16F169794C6F695584D78FF5F348630F147244FC3EEFAE5","FASE 1: ESTANDARIZACIÓN API ✅ COMPLETADA"
"docs\03-FASE2\FASE_2_COMPLETO.md",".md","10505","74D9107EA3D4DD37BDAE90685FBFB1625D8CA28F98278BAC38288BB7AFB42D39","FASE 2: Unit Tests - COMPLETO ✅"
"docs\03-FASE2\FASE_2_UNIT_TESTS.md",".md","6954","5E5F1B46D75EA88EFA315ABB384AE1CFA4B894A7D5AFE82DEEE0FBE91358BA35","FASE 2: Unit Tests con xUnit"
"docs\04-FASE3\FASE_3_COMPLETO.md",".md","12905","19871F0840C3E97F230ABE9E3FE217A45FBCF5CA721D995353FB9A8439830CB6","FASE 3 - COMPLETA ✅"
"docs\04-FASE3\FASE_3_PLAN.md",".md","10587","913D0E915FB5215175867D195E812C985801BF18B3CE15CD074B5BB90A4B05CF","FASE 3: ENDPOINTS CRÍTICOS Y FUNCIONALIDADES CORE"
"docs\04-FASE3\PRIORIDAD_3_REPORTES_COMPLETO.md",".md","12810","824986E3E2B99173D9AA6492A8FC8A37C7C980E0FE535E1759EF649F33A43C12","FASE 3 - PRIORIDAD 3: Dashboard y Reportes - COMPLETO ✅"
"docs\04-FASE3\PRIORIDAD_4_BUSQUEDA_AVANZADA_COMPLETO.md",".md","16720","ECD26611E182E3BE458EDEAE4247C70DA235BDD6ECFF7E5D5CD4138611C83831","FASE 3 - PRIORIDAD 4: Búsqueda Avanzada Full-Text - COMPLETO ✅"
"docs\04-FASE3\PRIORIDAD_5_OPTIMIZACIONES_COMPLETO.md",".md","15076","E84CDB197F634C7E504416C5A998962B3A3B9D0B02E201F2124C45614213378E","FASE 3 - PRIORIDAD 5: Optimizaciones - COMPLETO ✅"
"docs\10-API\API_EXAMPLES.md",".md","11888","F97E92797ACF611FCE409623881DC14EAC9EDF5ACE7D2DD0BBBFA7DDA1C24923","Ejemplos de Consumo de API"
"docs\10-API\API_INTEGRATION_GUIDE.md",".md","33572","BA50200E8C6387061E530601A23A6B7B56025AAA1DBD03DAAF33FAC4053A11B2","Guía de Integración - TicketsAPI REST"
"docs\10-API\CREATE_TICKET_FIX_REPORT.md",".md","7617","040C87663FD9A9DA5673799021ECAC6CBBDE243BE767C9D304EE74815117ECC3","✅ FIX: POST /Tickets debe usar Stored Procedure sp_agregar_tkt"
"docs\10-API\EDGE_CASES_AND_DISCREPANCIES.md",".md","13866","1ACDC3A9DCC93193C68B921850867507D7ED9DE3AD73BCA483907C5C04E67A48","Discrepancias y Casos Borde Identificados"
"docs\10-API\FIXES_IMPLEMENTADOS.md",".md","8086","160142B8BB5932B190D7477A5A994B16EA666BE64F2C2120598ED7EEBB060353","✅ FIXES IMPLEMENTADOS - AUDITORÍA DE ENDPOINTS"
"docs\20-DB\AUDIT_COMPARISON_REPORT_2026-01-30.md",".md","2845","0D1CEC2E9157888F52FE452E4A5B097BCD5240075D55EE539546FA9D718A8324","Auditoría comparativa BD - TicketsAPI"
"docs\20-DB\AUDIT_COMPARISON_REPORT.md",".md","2847","2122C8BB4FFFA9FE6DECFCD23E248FC7BB0854439B71B5E2E56086E00C862D01","Auditoría comparativa BD - TicketsAPI"
"docs\20-DB\AUDIT_ENDPOINTS_SPs.md",".md","18437","424E9BCD423F081F7C201B8911C540E857D011192C12D9E19AD0D83AC450F63A","🔍 AUDITORÍA EXHAUSTIVA DE ENDPOINTS CON STORED PROCEDURES"
"docs\20-DB\cdk_tkt.sql",".sql","129252","3F6E40825DC99573842F153DBA756D9D9F072676E6D8A2945C21FF3B5E81FE59",""
"docs\20-DB\DB_AUDIT_LATEST.json",".json","45994","76FDF5B09BA9047CD04E5D402CD1EAC446EA6201A4A1E9A5AD8DC1067FD6929F",""
"docs\20-DB\DB_AUDIT.json",".json","73194","EE6579C4CF76A7F1729A7E1E1BD5987DD509E926B5704D5EE748CC540E456426",""
"docs\30-Auth\JWT_AUTHENTICATION.md",".md","3166","2648CDA0D8AECF22C0BB4DBAC82FA8443FF5206B47A61A90ADDCC8781F3C6923","Mapeo de Autenticación JWT"
"docs\30-Auth\LOGIN_FIX_REPORT.md",".md","5049","56A09363502E2D9B174F8A75CDBC4822FD83E1966B789EB06E362F023D55E22A","✅ FIX: Error 500 en POST /Auth/login - Mapeo de Tipos"
"docs\30-Auth\PERMISSIONS_MATRIX.md",".md","12242","DD5E7D4A6FE65027820AD3DA4284DCAE27FC68250C5045AC2D9B3843B5059374","TicketsAPI - Matriz de Permisos y Reglas de Negocio"
"docs\40-Testing\INTEGRATION_TEST_REPORT.md",".md","9382","448E16C5A53294C22353A79F9DFAC1CDD4442E34CCD54FE9C594A31F9CC53ED5","📋 REPORTE DE PRUEBAS DE INTEGRACIÓN - TicketsAPI"
"docs\40-Testing\INTEGRATION_TEST_RESULTS.json",".json","1958","DBD5585A13C40DFB6FA9C44433F94BCCFE7ACE8A4DD738E94584AD82EAB377F2",""
"docs\40-Testing\QA_COMPREHENSIVE_REPORT.md",".md","9594","5A317E0856510119DC285FCA1B6AD4B66FDFB8BD792B785E929FFD7A5A92D185","QA TESTING REPORT - TicketsAPI"
"docs\40-Testing\QA_POST_FIX_REPORT.md",".md","7208","79239C890B37FAF437490629DE874C75D3E68A52024BE17270BE7C4B4A802BCD","REPORTE QA DESPUÉS DE CORRECCIONES - TicketsAPI"
"docs\40-Testing\QA_TEST_RESULTS_VISUAL.md",".md","12436","0F25486F9B38C50438F3752617025656D9B44FA03B40BE1989394F0FAB8A39C1","QA TEST RESULTS - VISUAL REPORT"
"docs\40-Testing\TEST_PLAN_BY_ROLE.md",".md","28903","9DEDF027FEA0CE12D7D5582FA0F19173EC900E25C86C6CBA09B0E3B152AEFF2B","Plan de Pruebas - GET /Tickets API por Rol"
"docs\40-Testing\VALIDATION_COMPLETE.md",".md","5592","FFDA45BE15078B6AD8F73386345B5FFB88A7F08CD3EF22237A6DDA6C47409FB9","✅ VALIDACIÓN FINAL - PRUEBAS DE INTEGRACIÓN COMPLETADAS"
"docs\40-Testing\VALIDATION_SUGGESTIONS.md",".md","12759","7A29AD47DE9B484BBC4CE84F5FFC29EDF914385F649F127BEB5846D5BB9AE334","Sugerencias de Validación - GET /Tickets API"
"docs\90-Reports\DEBUG_SESSION_SUMMARY.md",".md","6887","F27FBA0F25DBEF047A2BD294B41208BD619F98462E062A4FAEFAB83C11EF45EC","RESUMEN DE SESIÓN DE DEBUGGING Y QA"
"docs\90-Reports\REGISTRO_TECNICO_FINAL.md",".md","9644","29339E87B1DBE37283E72CCA5721880521C1397E2B54749F2EAD27BF935774B4","REGISTRO TÉCNICO DE CORRECCIONES - TicketsAPI"
"docs\90-Reports\WORK_COMPLETED_CHECKLIST.md",".md","6684","5B0AD8A581D4E375FC19C42ACBE5DA6AF229323701C416ACB3CD7B010FC2C863","CHECKLIST DE TAREAS COMPLETADAS - Sesión QA TicketsAPI"
"docs\99-Archivo\FASE0\CHEATSHEET.md",".md","9276","F7E5ECE8B84843D3E9708B7BB771BDA8D817D1C10CD45A683D71312202272F30","📋 CHEATSHEET - TicketsAPI"
"docs\99-Archivo\FASE0\HOJA_DE_RUTA_ESTRATEGICA.md",".md","12107","629EBAC7CA6CA08594C016F6584ADEB7F9EC015F6539ED12A89B8BD32864182F","HOJA DE RUTA ESTRATÉGICA - FASE 0 COMPLETADA"
"docs\99-Archivo\FASE0\HOJA_DE_VERIFICACION_FASE_0.md",".md","11773","9DD2BE42F6E874520DF17A766E34F3C4955C17FAF7826803B0B324545BB3392D","✅ HOJA DE VERIFICACIÓN - FASE 0 COMPLETADA"
"docs\99-Archivo\FASE0\INDICE_DOCUMENTACION.md",".md","11175","7175D63AA22D70B2C189889C2793D9711F6D303B868A0968683A608265554457","ÍNDICE DE DOCUMENTACIÓN - FASE 0"
"docs\99-Archivo\FASE0\README_ANALISIS.md",".md","14654","16415EABDDECA0901AEEBAAD7FFC0ADEF952F490081D8400800DA090BCCD8967","Índice de Documentación - Análisis GET /Tickets API"
"docs\99-Archivo\FASE0\README_FASE_0.md",".md","10613","9DB0FCB225E142DFF14725E5F35D7DF56F33A6D955DA7C4172C24B0FF68582EA","📚 DOCUMENTACIÓN FASE 0 - BIENVENIDA"
"docs\99-Archivo\FASE0\RESUMEN_EJECUTIVO_FASE_0.md",".md","9882","E17B30DB8CD5B6468386CBD4A0AD552419DB4AB9AC34A922A7EA0982815A8A3E","RESUMEN EJECUTIVO - FASE 0 COMPLETADA"
"docs\99-Archivo\FASE0\RESUMEN_EJECUTIVO.md",".md","10495","C3F2796FBD8D78AD2A5317F59AB8BC4E890E9E1DDDA106DC8156B2A75EEB6E7A","RESUMEN EJECUTIVO - Análisis GET /Tickets API"
"docs\99-Archivo\FASE0\START_HERE.md",".md","4658","E7BB089B8C6C967B77417E1ECC861A7A6CA98E2BCE3976D3AA6E6C0D1EAEF9B6","⭐ START HERE - Análisis GET /Tickets API"
"docs\99-Archivo\FASE0\STATUS_REPORT_FASE_0.md",".md","8554","7184EF55B309D75BFB1B5DB74023891DCE936AAD983F43DE9F80233048901941","STATUS REPORT - FASE 0 ANÁLISIS COMPLETO"
"docs\99-Archivo\FASE0\VISUALIZACION_FASE_0.md",".md","18563","D69C22DBB55E9E04E453E62668141AD5DAB6968D46F46E43F9A141B666D9EE25","VISUALIZACIÓN FASE 0 - MAPEO DE ENDPOINTS"
"docs\99-Archivo\General\DOCUMENTATION_INDEX.md",".md","7261","2185805473023FB2CF336F29286102A9A1EF04E63D67ADB1E20E3BDBAC44E1F2","📚 ÍNDICE DE DOCUMENTACIÓN - Sesión QA TicketsAPI"
"docs\INDEX.md",".md","3828","D9E7103A2527C707C5A74BE6EED1D7A74246C1FC079F2F00D0F77C56E73C44AC","Índice Maestro (Catálogo)"
"docs\MAPA_DOCUMENTACION.md",".md","10851","FAD6BD74DC02CA485BD8B1CEEDC9E692CFE22227412252DE89DA5AA7E6ECC7BF","🗺️ MAPA DE DOCUMENTACIÓN - TicketsAPI"
"docs\README.md",".md","3508","6D33CD040FE52D96482369353C3CFE879DB13A232F7A0A9ACF4DB5E18BF83F87","📚 Documentación TicketsAPI"
"FASE_0_COMPLETE.md",".md","8888","230DCC718D41D03B425FC9F03AB6A4CDD531C4DDFC02CFBCB0405984EC7B988D","FASE 0 - Implementación Completa ✅"
"FASE_0_DELIVERY.md",".md","6611","DAA770200E99D6D6BD342F34FCB32E8DD01824B0133616185257A5E65A875CA3","🎉 FASE 0 - COMPLETADO EXITOSAMENTE"
"FASE_0_PROGRESS.md",".md","10432","411CBD62F9CA119AB6CAAFA1D5AD3B47F188F51B94C1331A911A633005EFD5A6","FASE 0 - Implementación Inicial Completa"
"FASE_0_RESUMEN_EJECUTIVO.md",".md","8933","B2BDAB1D6D76D61CDB1A9D6A7510A744A71179B36802FC6B3B9D37BEF600187A","FASE 0 IMPLEMENTACIÓN - RESUMEN EJECUTIVO"
"FASE_0_STATUS_FINAL.md",".md","6450","C6A53BB067E2DD319A6968DDA9EADA1F8D72F3ED0D11D7A3AD20193FF683E766","✅ FASE 0 - ESTADO FINAL DE MIGRACIÓN"
"FASE4_FINAL_SUCCESS.md",".md","7168","13A94077AB2B7D04CACE92EFE3681358C9B7FCE56771CBA30F406BF6F6BF79BC","FASE 4 - ITERACIÓN COMPLETA: ÉXITO 91%"
"FINAL_COMPREHENSIVE_TESTING_REPORT.md",".md","20098","6F2C1F5A53171A1C33988702C40675FC3FB34497BDF2C3D92E60B17E91FF8D88","REPORTE FINAL EXHAUSTIVO DE PRUEBAS - TicketsAPI"
"INTEGRATION_ENDPOINT_RESULTS.json",".json","6437","6E32DB60DBB07DF7F4BBFD3871F193F157B65A69E7C3504F8880F0C202BF3F74",""
"IntegrationTests.ps1",".ps1","13086","62DBBC812E7F75B79F0400A92CE1DDD5B327000302CEE0A20A64FBB54802496D",""
"login_payload.json",".json","44","C6BC1A4CBB6604E59DD5BF3ED369F033F34717E039CA203C63CC8D9627DC6FE8",""
"MIGRACION_REFRESH_TOKEN_INSTRUCCIONES.md",".md","3770","F3211AB2A390628EB3E58112CC40FB2448244347923FB1AB6892A545365F35EF","Instrucciones de Migración - FASE 0 Refresh Token"
"PHASE4_FINAL_SUMMARY.md",".md","8331","D0A051757E468E53DFA118210808C4D0B20172F25C3F07AF5E0EBC0CA8825335","📋 FASE 4 - RESUMEN EJECUTIVO FINAL"
"PHASE4_PROGRESS.md",".md","10279","4A0CF9C74FCE5DAEA83A9A118E5AF14CBD5B869A1F8BCB40E865D00CADD7A6CF","FASE 4 - Progreso - Actualizado 27 Enero 2026"
"QA_TEST_REPORT.json",".json","917","D2EDCA441D70B6D78AAD1410A5D4C890CC065C547685F62C6F58CE65C5FBCA95",""
"QA_TESTING.ps1",".ps1","21192","E30478F2B28BC461251FA9545C036D17E5073DA449ADAA497AD2DCD28AA973BE",""
"quick_test_final.txt",".txt","192","4551F45D6284A67EE18255B4CF6BDF54957D3AF5A1FBCF790930ACF02C8873C9",""
